race_type,race,race_precincts_reported,race_total_precincts,race_yes_votes,race_no_votes,county_name,fips,county_reporting_precincts,county_total_precincts,party,candidate_id,candidate_name,county_yes_votes,county_no_votes
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Sullivan,211,0,14,Ballot Issues,750006198,Constitutional Amendment 2,36894,36895
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,Maries,125,0,12,Ballot Issues,750006199,Constitutional Amendment 3,37038,37039
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Cape Girardeau,031,0,30,Ballot Issues,750006200,Constitutional Amendment 6,37176,37177
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Phelps,161,0,21,Ballot Issues,750006200,Constitutional Amendment 6,37308,37309
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Daviess,061,0,7,Ballot Issues,750006201,Constitutional Amendment 10,37438,37439
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Scott,201,0,20,Ballot Issues,750006201,Constitutional Amendment 10,37568,37569
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Taney,213,0,22,Ballot Issues,750006198,Constitutional Amendment 2,36896,36897
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,Marion,127,0,17,Ballot Issues,750006199,Constitutional Amendment 3,37040,37041
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Carroll,033,0,13,Ballot Issues,750006200,Constitutional Amendment 6,37178,37179
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Pike,163,0,15,Ballot Issues,750006200,Constitutional Amendment 6,37310,37311
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,De Kalb,063,0,9,Ballot Issues,750006201,Constitutional Amendment 10,37440,37441
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Shannon,203,0,8,Ballot Issues,750006201,Constitutional Amendment 10,37570,37571
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Texas,215,0,11,Ballot Issues,750006198,Constitutional Amendment 2,36898,36899
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,McDonald,119,0,19,Ballot Issues,750006199,Constitutional Amendment 3,37042,37043
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Carter,035,0,8,Ballot Issues,750006200,Constitutional Amendment 6,37180,37181
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Platte,165,0,30,Ballot Issues,750006200,Constitutional Amendment 6,37312,37313
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Dent,065,0,9,Ballot Issues,750006201,Constitutional Amendment 10,37442,37443
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Shelby,205,0,7,Ballot Issues,750006201,Constitutional Amendment 10,37572,37573
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Vernon,217,0,17,Ballot Issues,750006198,Constitutional Amendment 2,36900,36901
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,Mercer,129,0,11,Ballot Issues,750006199,Constitutional Amendment 3,37044,37045
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Cass,037,0,48,Ballot Issues,750006200,Constitutional Amendment 6,37182,37183
Ballot Issues,Constitutional Amendment 6,0,3327,4322276,4322392,Polk,167,0,22,Ballot Issues,750006200,Constitutional Amendment 6,37314,37315
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,Douglas,067,0,14,Ballot Issues,750006201,Constitutional Amendment 10,37444,37445
Ballot Issues,Constitutional Amendment 10,0,3327,4349188,4349304,St. Charles,183,0,122,Ballot Issues,750006201,Constitutional Amendment 10,37574,37575
Ballot Issues,Constitutional Amendment 2,0,3327,4268452,4268568,Warren,219,0,23,Ballot Issues,750006198,Constitutional Amendment 2,36902,36903
Ballot Issues,Constitutional Amendment 3,0,3327,4295364,4295480,Miller,131,0,20,Ballot Issues,750006199,Constitutional Amendment 3,37046,37047
